Tengu,Obfuscation Manifold,Adaptive Shielding,Power Core Multiplier,Accelerated Ejection Bay,Fuel Catalyst,Tengu Core - Obfuscation Manifold,Tengu Defensive - Supplemental Screening,Tengu Offensive - Accelerated Ejection Bay,Tengu Propulsion - Fuel Catalyst,Tengu Core - Augmented Graviton Reactor
Tengu,Obfuscation Manifold,Adaptive Shielding,Power Core Multiplier,Accelerated Ejection Bay,Gravitational Capacitor,Tengu Core - Obfuscation Manifold,Tengu Defensive - Supplemental Screening,Tengu Offensive - Accelerated Ejection Bay,Tengu Propulsion - Chassis Optimization,Tengu Core - Augmented Graviton Reactor
Tengu,Obfuscation Manifold,Adaptive Shielding,Power Core Multiplier,Accelerated Ejection Bay,Intercalated Nanofibers,Tengu Core - Obfuscation Manifold,Tengu Defensive - Supplemental Screening,Tengu Offensive - Accelerated Ejection Bay,Tengu Propulsion - Chassis Optimization,Tengu Core - Augmented Graviton Reactor
Tengu,Obfuscation Manifold,Adaptive Shielding,Power Core Multiplier,Accelerated Ejection Bay,Interdiction Nullifier,Tengu Core - Obfuscation Manifold,Tengu Defensive - Supplemental Screening,Tengu Offensive - Accelerated Ejection Bay,Tengu Propulsion - Interdiction Nullifier,Tengu Core - Augmented Graviton Reactor
Tengu,Obfuscation Manifold,Adaptive Shielding,Power Core Multiplier,Rifling Launcher Pattern,Fuel Catalyst,Tengu Core - Obfuscation Manifold,Tengu Defensive - Supplemental Screening,Tengu Offensive - Accelerated Ejection Bay,Tengu Propulsion - Fuel Catalyst,Tengu Core - Augmented Graviton Reactor
Tengu,Obfuscation Manifold,Adaptive Shielding,Power Core Multiplier,Rifling Launcher Pattern,Gravitational Capacitor,Tengu Core - Obfuscation Manifold,Tengu Defensive - Supplemental Screening,Tengu Offensive - Accelerated Ejection Bay,Tengu Propulsion - Chassis Optimization,Tengu Core - Augmented Graviton Reactor
Tengu,Obfuscation Manifold,Adaptive Shielding,Power Core Multiplier,Rifling Launcher Pattern,Intercalated Nanofibers,Tengu Core - Obfuscation Manifold,Tengu Defensive - Supplemental Screening,Tengu Offensive - Accelerated Ejection Bay,Tengu Propulsion - Chassis Optimization,Tengu Core - Augmented Graviton Reactor
Tengu,Obfuscation Manifold,Adaptive Shielding,Power Core Multiplier,Rifling Launcher Pattern,Interdiction Nullifier,Tengu Core - Obfuscation Manifold,Tengu Defensive - Supplemental Screening,Tengu Offensive - Accelerated Ejection Bay,Tengu Propulsion - Interdiction Nullifier,Tengu Core - Augmented Graviton Reactor
Tengu,Obfuscation Manifold,Adaptive Shielding,Power Core Multiplier,Magnetic Infusion Basin,Fuel Catalyst,Tengu Core - Obfuscation Manifold,Tengu Defensive - Supplemental Screening,Tengu Offensive - Magnetic Infusion Basin,Tengu Propulsion - Fuel Catalyst,Tengu Core - Augmented Graviton Reactor
Tengu,Obfuscation Manifold,Adaptive Shielding,Power Core Multiplier,Magnetic Infusion Basin,Gravitational Capacitor,Tengu Core - Obfuscation Manifold,Tengu Defensive - Supplemental Screening,Tengu Offensive - Magnetic Infusion Basin,Tengu Propulsion - Chassis Optimization,Tengu Core - Augmented Graviton Reactor
